id,name,status,effective_status,objective,start_time,stop_time
120201866166750178,jussi_pp-master_reposicionamento__institucional_performance_fb-ig_social_advantagecampaing Campanha,PAUSED,PAUSED,OUTCOME_APP_PROMOTION,2023-12-07T16:38:00-0300,2023-12-22T16:00:04-0300
120200499753020178,jussi_pp-master_reposicionamento__institucional_performance_fb-ig_social_teste,PAUSED,PAUSED,OUTCOME_APP_PROMOTION,2023-11-08T11:35:32-0300,2023-12-20T17:07:30-0300
23861756909470177,jussi_pp-master_reposicionamento__institucional_performance_fb-ig_social,PAUSED,PAUSED,OUTCOME_APP_PROMOTION,2023-10-11T17:58:07-0300,2023-10-31T23:59:13-0300
23857586243150177,jussi_pp-master_reposicionamento__institucional_aquisicao_fb-ig_social,PAUSED,PAUSED,OUTCOME_APP_PROMOTION,2023-08-16T10:58:08-0300,2023-09-30T00:00:00-0300
23857298773760177,jussi_pp-master_reposicionamento__institucional_awareness_fb-ig_social,PAUSED,PAUSED,OUTCOME_AWARENESS,2023-08-01T13:07:41-0300,2023-08-22T23:59:31-0300
